Name;Jersey;Minutos;Total Distance (m);Mts/min;Z0 (0-15Km/h);AInt >15km/h;MAInt >20km/h;MAI/min;SPRINT>25km/h;SPRINT/min;SPRINT;Total Acceleration Load;Acc+Dec/min;#Acc+Decc AI;Maximum Velocity (km/h);Decc AI;%AInt;%MAI;%SPRINT;Acc AI;% VOL Sesion;% INT Sesion
Benjamin Kuscevic;A07;50;3809,44897;76,88091;3524,73987;284,65001;23,98;0,48396;0;0;0;1095,42168;0,58527;29;22,20355;11;7,47221;0,6295;0;18;20,58846;40,51863
Dario Osorio;B92;50;4112,52783;82,99753;3646,17005;466,37001;135,23;2,72916;53,87;1,08718;3;1012,75163;0,58527;29;29,6454;15;11,34023;3,28824;1,3099;14;23,96677;47,01694
Fabian Hormazabal;C95;100;8819,15332;88,23565;7543,96997;1275,13999;303,84;3,03992;58,77;0,58799;4;2596,46425;1,03052;103;29,83777;65;14,45876;3,44525;0,66639;38;64,67888;63,75435
Felipe Loyola;FL;74;7144,28491;97,04887;6159,85986;983,82001;260,59;3,53989;60,95;0,82795;3;1897,75968;0,7743;57;28,44473;36;13,77073;3,64784;0,85313;21;47,6048;63,4172
Francisco Sierralta;A24;10;967,20862;95,0558;821,49997;145,28;45,35;4,45693;0;0;0;259,63551;0,88451;9;24,5996;7;15,02054;4,69083;0;2;5,96972;57,29345
Gabriel Suazo;A60;100;8194,10083;81,982;7296,65003;897,41999;347,00999;3,47184;95,72;0,95768;6;2273,64247;0,77039;77;29,23513;39;10,95203;4,23489;1,16816;38;53,99577;52,96269
Igor Lichnovsky;A13;100;8077,21631;80,81257;7202,32983;874,82001;258,33;2,58459;67,23;0,67264;3;2648,48079;0,92046;92;29,93305;46;10,83071;3,19828;0,83234;46;53,94184;53,04631
Javier Altamirano;A93;50;4888,66797;96,99738;4167,5;721,09999;173,11;3,43472;24,2;0,48016;1;1251,00619;0,99206;50;27,54621;26;14,75044;3,5411;0,49502;24;32,18301;62,56296
Lucas Cepeda;C84;68;6152,32446;90,62529;5286,36017;865,14001;294,55001;4,3388;72,56;1,06883;4;1601,56186;0,66286;45;29,46234;18;14,062;4,78826;1,17939;27;40,63795;58,58694
Lucas Assadi;B82;50;4638,44873;93,61148;4088,56995;549,78999;143,02;2,88638;17,98;0,36287;2;1041,00511;0,444;22;25,66097;15;11,85288;3,08342;0,38763;7;26,21593;51,41172
Marcelino Nuñez;B63;24;2577,26245;106,55716;1978,98004;598,18001;135,83;5,6159;0;0;0;691,60854;1,36439;33;23,31566;20;23,2099;5,27053;0;13;19,52346;79,30838
Rodrigo Echeverria;B14;100;8877,98389;88,82425;7775,41003;1101,98002;252,37;2,52496;67,19;0,67224;4;2278,81105;0,71036;71;27,28155;43;12,4125;2,84284;0,75682;28;55,61271;54,39425
Rodrigo Ureña;D22;34;3318,02051;96,98837;2723,73999;594,91999;164,21;4,79999;35,65;1,04208;1;862,11282;0,61385;21;27,19947;13;17,92997;4,94808;1,07444;8;21,4537;61,20786
Victor Davila;A11;50;4213,02441;83,59175;3636,39001;576,61999;115,01;2,28194;13,18;0,26151;1;1065,03455;0,83333;42;29,07892;18;13,6866;2,72988;0,31284;24;27,48747;53,4464

